iso3,year,value
SWZ,2001,22.7095619136459
SWZ,2000,22.8409330761997
ETH,2020,21.6260051727295
ETH,2019,21.2486705780029
ETH,2018,20.7838096618652
ETH,2017,20.3084850311279
ETH,2016,19.8763618469238
ETH,2015,19.451566696167
ETH,2014,19.0262870788574
ETH,2013,18.615514755249
ETH,2012,18.2061367034912
ETH,2011,17.863790512085
ETH,2010,17.4937839508057
ETH,2009,17.1511001586914
ETH,2008,16.7936706542969
ETH,2007,16.0948330261902
ETH,2006,16.2148475646973
ETH,2005,15.982967376709
ETH,2004,15.7585906982422
ETH,2003,15.5438537597656
ETH,2002,15.333233833313
ETH,2001,15.1177673339844
ETH,2000,14.9193096160889
FJI,2020,57.186684691874
FJI,2019,56.70989552257
FJI,2018,56.2328347385698
FJI,2017,55.7408343449609
FJI,2016,55.1734720973874
FJI,2015,54.6234188083653
FJI,2014,54.0838287543856
FJI,2013,53.5552726299291
FJI,2012,53.0383211294771
FJI,2011,52.5335449475105
FJI,2010,52.0415147785104
FJI,2009,51.5628013169579
FJI,2008,51.0979752573339
FJI,2007,50.6494569776975
FJI,2006,50.2294752725468
FJI,2005,49.8421361321385
FJI,2004,49.4772922157817
FJI,2003,49.1260494882891
FJI,2002,48.7795139144731
FJI,2001,48.4287914591462
FJI,2000,48.0649880871211
FIN,2020,73.0849439791673
FIN,2019,72.7431214358314
FIN,2018,72.3423467740343
FIN,2017,71.9563038312956
FIN,2016,71.6158383428171
FIN,2015,71.3054930040604
FIN,2014,70.9879168940753
FIN,2013,70.6742118159277
FIN,2012,70.3661363168712
FIN,2011,70.0583261874252
FIN,2010,69.7855798796947
FIN,2009,69.546259966947
FIN,2008,69.2943672196361
FIN,2007,69.0200377316963
FIN,2006,68.7588279849327
FIN,2005,68.5140529517604
FIN,2004,68.2766596767133
FIN,2003,68.0425549126858
FIN,2002,67.7951641569199
FIN,2001,67.4982392821958
FIN,2000,67.1227685349539
FRA,2020,78.7119131765249
FRA,2019,78.6890784549356
FRA,2018,78.6714432536599
FRA,2017,78.6467804026368
FRA,2016,78.5999114705779
FRA,2015,77.7610919150066
FRA,2014,77.3524296788613
FRA,2013,77.2440721470918
FRA,2012,77.1669464919916
FRA,2011,77.1182717387509
FRA,2010,77.0962844808803
FRA,2009,77.1005391809676
FRA,2008,77.1561901569367
FRA,2007,77.2457976606157
FRA,2006,77.3467240068648
FRA,2005,77.4363315105438
FRA,2004,77.4900500011961
FRA,2003,77.4691216035138
FRA,2002,77.2543866607525
FRA,2001,76.9074413607811
FRA,2000,76.5143983146093
GAB,2020,90.3480750410147
GAB,2019,89.9031850170394
GAB,2018,89.4539949981866
GAB,2017,89.0009733256896
GAB,2016,88.5445883406178
GAB,2015,88.085308383892
GAB,2014,87.6236017962969
GAB,2013,87.1482480671637
